"Privilege Parent Group","Privilege Parent GroupID","Privilege Name","Privilege ID","Privilege Description","HEDC_DAAS_Admin","HEDC_DBA","HEDC_ITSM_Admins","HEDC_Networking","HEDC_Operations","HEDC_Operations_wProvision","HEDC_Printer_admins","HEDC_SCOIN_CM","HEDC_SCPT_Admins","HEDC_SCPT_Admins_Test"
"Tagging","InventoryService.Tagging","EditTag","InventoryService.Tagging.EditTag","EditTag","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Update files","ContentLibrary.UpdateSession","Update files of a library item","False","False","False","False","False","False","False","False","False","False"
"Host","AutoDeploy.Host","AssociateMachine","AutoDeploy.Host.AssociateMachine","Associate a machine identifier with a host in vCenter","False","False","False","False","False","False","False","False","False","False"
"Manage Patches and Upgrades","VcIntegrity.Updates","View Compliance Status","VcIntegrity.Updates.com.vmware.vcIntegrity.ViewStatus","View baseline or software update compliance information for an object in the vSphere inventory.","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Create a subscription for a published library","ContentLibrary.AddSubscription","Create a subscription","False","False","False","False","False","False","False","False","False","False"
"ESXi Health Perspectives","VcIntegrity.lifecycleHealth","Write","VcIntegrity.lifecycleHealth.Write","Write privilege for ESXi Health Perspectives resource","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Delete subscription of a published library","ContentLibrary.DeleteSubscription","Delete subscription","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Update library","ContentLibrary.UpdateLibrary","Update properties common to all library types","False","False","False","False","False","False","False","False","False","False"
"TransferService","TransferService","Monitor","TransferService.Monitor","Monitor","False","False","False","False","False","False","False","False","False","False"
"Tagging","InventoryService.Tagging","ModifyUsedByForTag","InventoryService.Tagging.ModifyUsedByForTag","ModifyUsedByForTag","False","False","False","False","False","False","False","False","False","False"
"Configure","VcIntegrity.General","Configure Service","VcIntegrity.General.com.vmware.vcIntegrity.Configure","Configure the vSphere Lifecycle Manager service and the scheduled task to download patches, extensions, notifications, and related data.","False","False","False","False","False","False","False","False","False","False"
"IntercomNamespace","IntercomNamespace","Read","IntercomNamespace.Read","Read","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Sync library item","ContentLibrary.SyncLibraryItem","Synchronize a subscribed library item","False","False","False","False","False","False","False","False","False","True"
"Rule","AutoDeploy.Rule","Create","AutoDeploy.Rule.Create","Create a rule","False","False","False","False","False","False","False","False","False","False"
"Trust","Trust","Manage","Trust.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"Lifecycle Manager: Hardware Compatibility Privileges","VcIntegrity.HardwareCompatibility","Write","VcIntegrity.HardwareCompatibility.Write","Write Privileges for ESXi Hardware Compatibility resources","False","False","False","False","False","False","False","False","False","False"
"HLM","HLM","Manage","HLM.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Update subscribed library","ContentLibrary.UpdateSubscribedLibrary","Update a subscribed library","False","False","False","False","False","False","False","False","False","False"
"Cluster","Vsan.Cluster","ShallowRekey","Vsan.Cluster.ShallowRekey","Rotate the key encryption key for vSAN Cluster, without re-encrypting all data","False","False","False","False","False","False","False","False","False","False"
"Desired Configuration Management Privileges","VcIntegrity.ClusterConfiguration","Read-only access to desired configuration management platform","VcIntegrity.ClusterConfiguration.View","View configuration, compliance reports, pre-check reports.","False","False","False","False","False","False","False","False","False","False"
"Profile","ImageBuilder.Profile","Delete","ImageBuilder.Profile.Delete","Delete","False","False","False","False","False","False","False","False","False","False"
"RuleSet","AutoDeploy.RuleSet","Activate","AutoDeploy.RuleSet.Activate","Activate a rule set","False","False","False","False","False","False","False","False","False","False"
"Namespaces","Namespaces","Upgrade","Namespaces.Upgrade","Upgrade","False","False","False","False","False","False","False","False","False","False"
"SupervisorServices","SupervisorServices","Manage","SupervisorServices.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Update library item","ContentLibrary.UpdateLibraryItem","Update a library item in a local library","False","False","False","False","False","False","False","False","False","False"
"Namespaces","Namespaces","Manage","Namespaces.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Delete library item","ContentLibrary.DeleteLibraryItem","Delete a library item from a local library","False","False","False","False","False","False","False","False","False","True"
"vService","vService","Destroy dependency","vService.DestroyDependency","Destroy a vService dependency on a virtual machine or vApp","False","False","False","False","False","False","False","False","False","False"
"ServiceAccount","ServiceAccount","ManageAccount","ServiceAccount.ManageAccount","ManageAccount","False","False","False","False","False","False","False","False","False","False"
"Tagging","InventoryService.Tagging","CreateTag","InventoryService.Tagging.CreateTag","CreateTag","False","False","False","False","False","False","False","False","False","False"
"Infraprofile","Infraprofile","Read","Infraprofile.Read","Read","False","False","False","False","False","False","False","False","False","False"
"vService","vService","Update dependency","vService.UpdateDependency","Update a vService dependency on a virtual machine or vApp","False","False","False","False","False","False","False","False","False","False"
"Tagging","InventoryService.Tagging","DeleteTag","InventoryService.Tagging.DeleteTag","DeleteTag","False","False","False","False","False","False","False","False","False","False"
"CertificateAuthority","CertificateAuthority","Manage","CertificateAuthority.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Add root certificate to trust store","ContentLibrary.AddCertToTrustStore","Add root certificate to content library trust store","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Create, delete or purge a Harbor registry project","ContentLibrary.ManageRegistryProject","Create, delete or purge a Harbor registry project on specified target","False","False","False","False","False","False","False","False","False","False"
"Lifecycle Manager: Image Remediation Privileges","VcIntegrity.lifecycleSoftwareRemediation","Write","VcIntegrity.lifecycleSoftwareRemediation.Write","Write privilege for Lifecycle Manager Image Remediation","False","False","False","False","False","False","False","False","False","False"
"Rule","AutoDeploy.Rule","Edit","AutoDeploy.Rule.Edit","Edit a rule","False","False","False","False","False","False","False","False","False","False"
"ServiceAccount","ServiceAccount","Administer","ServiceAccount.Administer","Administer","False","False","False","False","False","False","False","False","False","False"
